Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Cost,Category
Wheat meal cereal unrefined,3/4 cup,30,103,4,1,0,0.7,25,1,"Breads, cereals, fastfood,grains"
"Wheat, cooked",3/4 cup,200,275,12,1,0,4.4,35,1,"Breads, cereals, fastfood,grains"
Beef soup,1 cup,250,100,6,4,4,0.5,11,1.99,Soups
Bouillon,1 cup,240,24,5,0,0,0,0,1.9,Soups
chicken soup,1 cup,250,75,4,2,2,0,10,2,Soups
Clam chowder,1 cup,255,85,5,2,8,0.5,12,0.58,Soups
Cream soups,1 cup,255,200,7,12,11,1.2,18,1.5,Soups
Noodle,1 cup,250,115,6,4,3,0.2,13,2.1,Soups
Split-pea soup,1 cup,250,147,8,3,3,0.5,25,0.81,Soups
Tomato soup,1 cup,245,175,6,7,6,0.5,22,0.3,Soups
Vegetable,1 cup,250,80,4,2,2,0,14,1.2,Soups
Apple betty,1 serving,100,150,1,4,0,0.5,29,1.5,"Desserts, sweets"
Bread pudding,3/4 cup,200,374,11,12,11,0.2,56,0.64,"Desserts, sweets"
Cakes,1 slice,40,110,3,0,0,0,23,1,"Desserts, sweets"
Chocolate fudge,1 slice,120,420,5,14,12,0.3,70,1.2,"Desserts, sweets"
Cupcake,1,50,160,3,3,2,0,31,1.1,"Desserts, sweets"
Fruit cake,1 slice,30,105,2,4,3,0.2,17,0.9,"Desserts, sweets"
Gingerbread,1 slice,55,180,2,7,6,0,28,0.86,"Desserts, sweets"
"Plain, with no icing",1 slice,55,180,4,5,4,0,31,3.8,"Desserts, sweets"
Sponge cake,1 slice,40,115,3,2,2,0,22,0.72,"Desserts, sweets"
Candy,5,25,104,0,3,3,0,19,0.02,"Desserts, sweets"
Chocolate creams,2,30,130,0,4,4,0,24,2.3,"Desserts, sweets"
Fudge,2 pieces,90,370,0,12,11,0.1,80,3.2,"Desserts, sweets"
Hard candies,1 oz.,28,90,0,0,0,0,28,1.3,"Desserts, sweets"
Marshmallows,5,30,98,1,0,0,0,23,0.1,"Desserts, sweets"
Milk chocolate,2-oz. bar,56,290,2,6,6,0.2,44,2.03,"Desserts, sweets"
